quantity,equals,notes
1 cubic yard,27 cubic feet,cubic volume
1 cubic yard of pea gravel,"2,700 lb, 1.35 US tons, 1.22 tonnes",at 100 lb per cubic foot
1 US ton of pea gravel,"20 cubic feet, 0.74 cubic yards",at 100 lb per cubic foot
1 cubic metre,"35.3147 cubic feet, 1.308 cubic yards",cubic volume
1 cubic metre of pea gravel,"1,602 kg, 1.60 tonnes",at 100 lb per cubic foot
1 tonne of pea gravel,"0.62 cubic metres, 0.82 cubic yards","at 1,602 kg per cubic metre"
1 half cubic foot bag,"about 50 lb, 0.5 cubic feet",54 bags fill one cubic yard
1 fifteen litre bag,"about 24 kg, 0.53 cubic feet","42 bags per 1,000 kg"
Wet pea gravel,about 8 percent heavier than dry,quarries quote dry weight
"Published range, pea gravel",1.21 to 1.42 US tons per cubic yard,spread across widely published sources
